trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.01, 'e': 0.27075425951199406}",20,15,-0.14177231246226674,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2680467169168741}",20,10,10.159683925220813,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.26536624974770534}",20,0,-26.428515338220972,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.2627125872502283}",20,11,-40.77012008648245,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.26008546137772603}",20,9,-25.48602668367385,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.25748460676394874}",25,0,-43.146798824344366,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
136,False,"{'a': 0.01, 'e': 0.2549097606963093}",20,9,8.768445961090539,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.2523606630893462}",20,0,-6.300624279347801,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.2498370564584527}",30,21,3.393150648979129,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.24733868589386818}",20,12,13.750097624836522,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.24486529903492948}",25,16,15.171510373748756,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.2424166460445802}",25,2,26.126826225836272,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.2399924795841344}",25,5,24.548783200144925,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.23759255478829303}",20,11,-38.13455789681325,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
144,False,"{'a': 0.01, 'e': 0.23521662924041012}",20,6,5.922236880648562,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.232864462948006}",20,0,5.741125022693931,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.01, 'e': 0.23053581831852593}",20,4,16.35701321505486,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.22823046013534068}",30,10,26.60899039948677,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22594815553398728}",20,13,1.415144705993516,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.2236886739786474}",25,14,6.951156106981908,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22145178723886091}",20,8,2.342245019112717,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.2192372693664723}",20,12,14.832459235817616,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
